epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1881.26,0.64942,0.40502,0.94247,0.99397,0.98793,0.98642,0.85678,0.80113,0.44691,1.09685,0.000219817,0.000219817,0.000219817
43,1925.87,0.64628,0.40397,0.94052,0.99235,0.98903,0.9865,0.86038,0.80013,0.44388,1.09801,0.000216154,0.000216154,0.000216154
44,1970.77,0.6449,0.40505,0.94373,0.99359,0.98724,0.98638,0.85532,0.80418,0.46324,1.10337,0.000212491,0.000212491,0.000212491
45,2015.46,0.65141,0.40363,0.94417,0.99269,0.98845,0.9867,0.85861,0.81311,0.4457,1.11023,0.000208828,0.000208828,0.000208828
46,2060.52,0.64239,0.39839,0.94238,0.99258,0.98904,0.98693,0.8597,0.79492,0.4349,1.08425,0.000205165,0.000205165,0.000205165
47,2105.5,0.6481,0.40609,0.94544,0.99352,0.98824,0.98656,0.86056,0.79783,0.44626,1.0981,0.000201502,0.000201502,0.000201502
48,2150.78,0.64049,0.39336,0.93879,0.99383,0.98764,0.98685,0.8607,0.79678,0.43757,1.10927,0.000197839,0.000197839,0.000197839
49,2195.88,0.63844,0.39011,0.93913,0.99392,0.98824,0.98667,0.8618,0.79112,0.43655,1.10948,0.000194176,0.000194176,0.000194176
50,2240.63,0.64995,0.39412,0.94404,0.9945,0.98756,0.98667,0.86323,0.7942,0.43332,1.09404,0.000190513,0.000190513,0.000190513
51,2285.68,0.63951,0.38971,0.93886,0.99508,0.98744,0.98666,0.86109,0.79587,0.44378,1.09811,0.00018685,0.00018685,0.00018685
52,2330.46,0.63574,0.38249,0.93889,0.99149,0.99027,0.98687,0.8633,0.79159,0.42271,1.09284,0.000183187,0.000183187,0.000183187
53,2375.51,0.63406,0.38028,0.93586,0.99369,0.98812,0.98633,0.86293,0.79436,0.42792,1.0994,0.000179524,0.000179524,0.000179524
54,2420.62,0.63697,0.38307,0.93838,0.99313,0.98946,0.98665,0.86397,0.79043,0.42895,1.09228,0.000175861,0.000175861,0.000175861
55,2465.57,0.6346,0.37702,0.93712,0.99256,0.98885,0.98681,0.86324,0.78959,0.42614,1.09015,0.000172198,0.000172198,0.000172198
56,2510.84,0.63177,0.37751,0.93534,0.99436,0.98756,0.98676,0.86123,0.78662,0.41842,1.09051,0.000168535,0.000168535,0.000168535
57,2556.2,0.63526,0.37651,0.93671,0.99243,0.98965,0.98692,0.8639,0.79042,0.42451,1.1036,0.000164872,0.000164872,0.000164872
58,2600.84,0.63742,0.38087,0.94129,0.99447,0.98818,0.98673,0.86329,0.7874,0.43077,1.10063,0.000161209,0.000161209,0.000161209
59,2646.09,0.63446,0.37282,0.93628,0.99599,0.98663,0.98702,0.86331,0.79442,0.42317,1.10164,0.000157546,0.000157546,0.000157546
60,2691.22,0.63122,0.37095,0.93334,0.99534,0.98756,0.98702,0.86393,0.7967,0.42657,1.10504,0.000153883,0.000153883,0.000153883
61,2736.49,0.63942,0.377,0.93873,0.99522,0.98789,0.98686,0.86569,0.78587,0.42477,1.08841,0.00015022,0.00015022,0.00015022
62,2781.49,0.6308,0.36701,0.9333,0.99569,0.98766,0.98695,0.86466,0.78169,0.42489,1.08768,0.000146557,0.000146557,0.000146557
63,2826.36,0.62959,0.36748,0.931,0.99451,0.98867,0.9868,0.86537,0.78005,0.41202,1.09052,0.000142894,0.000142894,0.000142894
64,2871.3,0.63217,0.36702,0.93394,0.99587,0.98685,0.987,0.86484,0.78294,0.41558,1.09066,0.000139231,0.000139231,0.000139231
65,2915.95,0.62511,0.36323,0.93181,0.99333,0.98889,0.98621,0.86468,0.78488,0.41931,1.09024,0.000135568,0.000135568,0.000135568
66,2960.62,0.62961,0.36329,0.93058,0.99401,0.9882,0.98637,0.86545,0.79277,0.42442,1.10816,0.000131905,0.000131905,0.000131905
67,3005.36,0.62893,0.36037,0.92955,0.99405,0.98817,0.98672,0.86453,0.791,0.42103,1.09807,0.000128242,0.000128242,0.000128242
68,3049.89,0.62669,0.35941,0.92823,0.99194,0.98964,0.98652,0.86606,0.78455,0.41636,1.09887,0.000124579,0.000124579,0.000124579
69,3094.55,0.62671,0.35994,0.93091,0.99395,0.98825,0.98644,0.86703,0.78568,0.41928,1.10439,0.000120916,0.000120916,0.000120916
70,3139.25,0.62432,0.35684,0.93435,0.99426,0.98813,0.98629,0.86427,0.78715,0.42701,1.09842,0.000117253,0.000117253,0.000117253
71,3184.05,0.62442,0.35298,0.93225,0.99473,0.9883,0.98651,0.86743,0.78255,0.41105,1.10855,0.00011359,0.00011359,0.00011359
72,3228.44,0.62272,0.35122,0.93195,0.99535,0.98756,0.98681,0.86689,0.78644,0.41684,1.1114,0.000109927,0.000109927,0.000109927
73,3272.81,0.61914,0.35028,0.93003,0.99444,0.98867,0.98674,0.8667,0.78331,0.41212,1.09368,0.000106264,0.000106264,0.000106264
74,3317.6,0.62318,0.35631,0.93339,0.99523,0.98787,0.98672,0.86638,0.79076,0.41081,1.11244,0.000102601,0.000102601,0.000102601
75,3362.37,0.61952,0.3463,0.92941,0.99585,0.98701,0.98677,0.86711,0.7819,0.40941,1.09864,9.8938e-05,9.8938e-05,9.8938e-05
76,3406.96,0.61725,0.34975,0.93155,0.995,0.98807,0.98664,0.86666,0.78137,0.41501,1.10622,9.5275e-05,9.5275e-05,9.5275e-05
77,3451.25,0.62153,0.34776,0.93174,0.99451,0.9883,0.98653,0.86743,0.77817,0.41589,1.09754,9.1612e-05,9.1612e-05,9.1612e-05
78,3496.1,0.61871,0.3478,0.92961,0.99446,0.98876,0.98673,0.868,0.78497,0.40904,1.09951,8.7949e-05,8.7949e-05,8.7949e-05
79,3540.87,0.62291,0.34595,0.93055,0.99451,0.98894,0.98627,0.86751,0.76994,0.40365,1.08638,8.4286e-05,8.4286e-05,8.4286e-05
80,3585.19,0.61506,0.33877,0.9262,0.99412,0.98868,0.98684,0.86683,0.77702,0.40105,1.09595,8.0623e-05,8.0623e-05,8.0623e-05
81,3629.84,0.61503,0.33772,0.92697,0.99471,0.98853,0.9867,0.86933,0.77472,0.40222,1.09367,7.696e-05,7.696e-05,7.696e-05
82,3674.87,0.62085,0.34767,0.93388,0.99427,0.98904,0.98668,0.86697,0.77528,0.40723,1.09727,7.3297e-05,7.3297e-05,7.3297e-05
83,3719.7,0.61584,0.34139,0.93164,0.99366,0.98978,0.98666,0.86777,0.7831,0.41038,1.10139,6.9634e-05,6.9634e-05,6.9634e-05
84,3764.19,0.61647,0.33859,0.92871,0.99519,0.98858,0.98692,0.86772,0.77037,0.40381,1.09073,6.5971e-05,6.5971e-05,6.5971e-05
85,3808.42,0.615,0.3391,0.93093,0.99459,0.98872,0.98686,0.86758,0.77778,0.40746,1.0997,6.2308e-05,6.2308e-05,6.2308e-05
86,3853.15,0.61301,0.33626,0.93029,0.99494,0.98854,0.98697,0.8668,0.76907,0.39858,1.08561,5.8645e-05,5.8645e-05,5.8645e-05
87,3897.82,0.61367,0.33638,0.92535,0.9954,0.98895,0.98699,0.86818,0.77514,0.39981,1.09604,5.4982e-05,5.4982e-05,5.4982e-05
88,3942.51,0.61588,0.33414,0.92732,0.99516,0.98833,0.98696,0.86804,0.7796,0.39791,1.1027,5.1319e-05,5.1319e-05,5.1319e-05
89,3987.52,0.60824,0.33095,0.92642,0.99503,0.98839,0.98664,0.86877,0.77735,0.40145,1.09738,4.7656e-05,4.7656e-05,4.7656e-05
90,4032.43,0.60766,0.32871,0.92535,0.99559,0.98821,0.98667,0.86864,0.7724,0.39864,1.09358,4.3993e-05,4.3993e-05,4.3993e-05
91,4077.39,0.60078,0.27772,0.92169,0.99528,0.98802,0.98694,0.86589,0.77174,0.40429,1.09614,4.033e-05,4.033e-05,4.033e-05
